Review Date,Ratings,Comment,Comment Cleaned,Label
2025-04-15 22:01:17,1,"udh game kikir,,game yapping,,muka NPC nya template pula,,masih bagusan game adek nya si zzz🫵😂",game pelit game banya bicara muka non player character template bagus game adek si zzz,Negative
2025-04-09 13:08:42,1,"Saran buat dev dioptimalkan lagi game ya, 2020 Edit th 2024: ini ulasan saya setelah 3 tahun lebih di PV 4.2. Buset dah, story nya.... Tidak menyangka game yang saya kasih bintang satu ternyata bagus bener Lore storynya. Jadi pingin ngikuti sampai mana ini game berakhir Edit kembali th 2025: maaf ini kenapa lorenya kek game bayi ya? Katanya natlan itu Negara Perang, Tapi kok kayak Kebun binatang? saya kasih 1 bintang, kecewa benerrrrr",saran developer optimal game edit th ulas pv buset dah story sangka game kasih bintang bagus lore storynya pingin ikut game edit th maaf lorenya game bayi natlan negara perang kebun binatang kasih bintang kecewa benerrrrr,Negative
2025-04-09 13:06:01,1,Keren,keren,Negative
2025-04-09 12:53:58,1,"bisa tidak sih kasih mata buat F2P? mereka tersiksa hanya demi mencari chest dan pada akhirnya kalah 50/50, aku keluar dari ini, Goodbye",kasih mata f p siksa cari chest kalah goodbye,Negative
2025-04-09 09:03:06,1,skrng berasa jadi game bayi,asa game bayi,Negative
2025-04-09 08:01:27,1,"game ini makin lama makin ampas, jaringan, gacha karakter, artefak, kit/combat, story ampas semua, game ini udah gak ramah buat f2p, cukup menghabiskan waktu yg terlalu lama dan membosankan. (pensi udah bosen)",game jelek jaring gacha karakter artefak kit combat story jelek game udah ramah f p habis bosan pensi udah bosen,Negative
2025-04-09 05:53:25,1,ukuran datanya gak ngotak sumpah download harus nunggu Berjam jam dan hp panas bet,ukur data pakai otak sumpah download tunggu jam jam hp panas,Negative
2025-04-09 05:37:10,1,WOI HOYO,hoyo,Negative
2025-04-09 04:09:43,1,percakapannya terlalu panjang tidak bisa di skip terlalu banyak membuang waktu. serta reward yg tidak setara dengan pengerjaan quest begitu pula reward dari gacha bagi player f2p,cakap skip buang reward tara kerja quest reward gacha player f p,Negative
2025-04-09 03:55:53,1,Game hoyoverse cuma jadi game sapi perah doang.. Rate selalu ampas,game hoyoverse game sapi perah doang rate jelek,Negative
2025-04-09 01:59:01,1,pengisi suara (EN) banyak yang hilang tanpa alasan yang jelas dalam waktu yang sama lama. dan sama sekali ga ada tanda tanda bakal di fix dalam waktu dekat,isi suara en hilang alas tanda tanda fix,Negative
2025-04-09 01:39:56,1,"pengoptimalan sinyalnya busuk banget buat mobile, masa bsa 10x disconnect dalam waktu 30 menit pdhl maen game lain aman aja lancarr",optimal sinyal busuk mobile bsa x disconnect menit maen game aman aja lancarr,Negative
2025-04-09 01:14:14,1,Seru,seru,Negative
2025-04-09 00:45:30,1,"No skip button, just yapping game.",skip button banya bicara game,Negative
2025-04-08 22:28:51,1,"ini juga sama,char cowo nya dikit banget. kelaut aja deh",char cowo dikit laut aja deh,Negative
2025-04-08 20:40:13,1,hero2 yg dihadirkan sangat membosankan . sekelas archon bintang 5 pun kit combat serasa hero bibtang 4 !!! semoga genshin menghadirkan hero2 dengan design dan kit combat yg lebih bagus lagi 🙏🙏,hero hadir bosan kelas archon bintang kit combat serasa hero bibtang moga genshin hadir hero design kit combat bagus,Negative
2025-04-08 12:30:32,1,bosen,bosen,Negative
2025-04-08 12:07:54,1,"improve the character design, and face please. their faces all look the same, has a chubby cheek but only different in hair and clothing style. and make all tall men to look more masculine. please hoyo just improve your characters to make them look even more BETTER.",improve character design face please faces look chubby cheek different hair clothing style make tall men look masculine please hoyo improve characters make look even better,Negative
2025-04-08 11:13:23,1,"add skip mode in story bro please, boring game",add skip mode story bro please boring game,Negative
2025-04-08 10:44:32,1,"ping server Asia kapan di benerin dah, game dah 5 tahun tapi ping nya ampas bgt",ping server asia benerin dah game dah ping jelek bangent,Negative
2025-04-08 09:22:52,1,sudah tidak kikir,pelit,Negative
2025-04-08 09:19:10,1,"bagus banget developernya gak pernah dengerin feedback playernya. Gak pernah sebahagia ini ketemu Dev yang sikapnya kaya gini, kalau gak ada player kayaknya makin sukses ya :)",bagus developer dengar feedback playernya bahagia ketemu developer sikap kaya player sukses,Negative
2025-04-08 08:06:23,1,tolong terlalu banyak permintaannya dimatiin,tolong minta dimatiin,Negative
2025-04-08 06:01:14,1,"untuk event aja alur cerita nya panjangnya setengah mati, gak sekalian di buat film aja skalian 15 jam gitu, parah banget, MEMBOSANKAN",event aja alur cerita panjang mati film aja skalian jam parah bosan,Negative
2025-04-08 05:54:04,1,"Makin lama makin ga konsisten ini game,lama lama malah ga enjoy,klo bikin story yg jelas...ga ush kesetir Jomok sama Fandom Public Enemy",konsisten game enjoy bikin story ush setir jomok fandom public enemy,Negative
2025-04-08 05:43:43,1,pelit kli mau 1 karakter aja ga dapet padahl udh berulang kli kasih la kemudahan minimal 10x permohonan udah dapet karakter ni nggk,pelit karakter aja dapet padahl ulang kasih la mudah minimal x mohon udah dapet karakter ni nggk,Negative
2025-04-08 03:25:24,1,Already 5 years & no support controller for android 😑 Aether / lumine still no text why always little gremlin who always talks to much,already years support controller android aether lumine still text always little gremlin always talks much,Negative
2025-04-08 02:42:18,1,sudah tidak seseru dulu main game ini,seru main game,Negative
2025-04-08 02:03:48,1,"recast Paimon, Candace, Keqing, Albedo, Sucrose, Hutao VAs dont wanna see them and hear their voices again",recast paimon candace keqing albedo sucrose hutao vas dont wan see hear voices,Negative
2025-04-08 01:51:11,1,game kikir,game pelit,Negative
2025-04-08 01:45:14,1,Game ini mengajarkan untuk selalu sabar dan bersyukur atas apa yg kita miliki karena smuanya adalah titipan,game ajar sabar syukur milik titip,Negative
